gameId,queueId,seasonId,gameVersion,gameDuration,100_JUNGLE_champ,100_JUNGLE_rank,100_TOP_champ,100_TOP_rank,100_MIDDLE_champ,100_MIDDLE_rank,100_BOTTOM_2_champ,100_BOTTOM_2_rank,100_BOTTOM_champ,100_BOTTOM_rank,200_JUNGLE_champ,200_JUNGLE_rank,200_TOP_champ,200_TOP_rank,200_MIDDLE_champ,200_MIDDLE_rank,200_BOTTOM_2_champ,200_BOTTOM_2_rank,200_BOTTOM_champ,200_BOTTOM_rank,win
516692892,440,9,7.22.208.1062,1731,9,1,164,1,99,1,497,1,429,1,141,1,31,1,157,1,43,1,236,1,1
512867763,420,9,7.21.206.6866,1402,54,1,6,3,38,4,29,4,497,1,81,1,122,3,55,5,21,2,412,3,0
511265795,440,9,7.21.206.6866,1576,81,1,150,4,99,2,18,3,412,3,64,5,39,4,3,2,51,4,16,1,0
511263892,440,9,7.21.206.6866,1508,5,1,150,2,61,4,99,3,18,3,141,4,57,3,131,3,51,4,89,2,0
510483208,440,9,7.20.204.9809,1807,516,1,157,1,36,2,432,2,222,1,62,3,80,1,38,4,498,2,12,2,0
510371693,440,9,7.20.204.9809,1636,59,2,36,1,101,2,412,2,29,1,64,4,31,4,34,3,113,1,18,1,1
520690512,440,9,7.22.208.1062,2343,107,3,83,2,38,3,89,2,429,3,141,3,236,1,81,3,412,4,29,4,0
520684995,440,9,7.22.208.1062,1845,5,3,83,2,31,3,117,3,81,3,107,1,86,3,4,4,51,1,61,1,1
520604375,440,9,7.22.208.1062,1929,104,3,57,3,238,3,22,3,143,3,516,3,17,3,69,3,85,4,61,3,1
520579488,440,9,7.22.208.1062,1430,5,1,75,3,63,3,81,3,432,3,64,3,150,3,91,3,99,2,202,2,1
520406410,440,9,7.22.208.1062,2132,28,3,41,2,238,3,498,3,89,3,24,4,2,3,81,3,201,3,67,3,0
520414352,440,9,7.22.208.1062,1671,141,3,6,1,245,1,429,1,432,3,11,1,3,1,81,3,497,1,110,3,1
520370759,440,9,7.22.208.1062,1934,59,2,17,2,41,3,236,2,81,3,79,3,223,3,69,2,99,1,51,1,1
520001227,440,9,7.22.208.1062,1469,76,3,104,3,42,1,44,3,498,3,121,2,114,3,55,3,119,2,412,3,0
519985656,440,9,7.22.208.1062,2102,120,3,157,3,110,3,22,2,57,3,64,3,54,3,21,1,89,2,81,3,0
519915247,440,9,7.22.208.1062,2314,102,3,57,4,157,4,110,3,223,3,24,1,85,3,103,3,117,3,96,4,1
519834772,420,9,7.22.208.1062,1949,5,4,98,3,13,4,25,3,29,4,59,4,150,3,63,3,18,4,31,4,0
519778771,440,9,7.22.208.1062,2400,19,2,80,1,45,3,81,3,412,3,79,4,126,1,238,3,18,3,432,3,1
